sim_time,wind.power,solar.power,demand.power,fossil_fuels.power,nuclear.power,batteries.power,hydro.power,batteries.level,hydro.level,frequency,fossil_fuels.energy,fossil_fuels.cost,fossil_fuels.CO2,nuclear.energy,nuclear.cost,nuclear.CO2,grid.surplus,wind_forecast,solar_forecast,demand_forecast
09:04:45,3.0267108583536833,15.029003978100828,71.97991976141999,10.0,15.0,0,0,60.0,60.0,frequency,0.0,0.0,0.0,0.0,0.0,0.0,grid.surplus,-13.406536557664069,150.55451435931312,-0.07561241163495294
09:14:45,1.6895468499887814,15.337990797133287,69.50208338086462,35.084535126686845,16.92635726034139,1.2214062798204894,1.2266404158083573,59.48236472705002,59.48236472705002,frequency,5.151789726329682,0.7727684589494522,2575.894863164841,2.836599661432381,0.5673199322864763,141.82998307161904,grid.surplus,-10.979859004321163,77.95855014083168,-0.06234929847723274
09:24:45,0.3062737378871586,15.657632334063415,66.938804366497,34.10061400982548,16.91904306445131,1.4105328684541243,1.4179909753323179,59.362769816130694,59.362769816130694,frequency,10.695001472118577,1.6042502208177865,5347.500736059288,5.673062341508292,1.1346124683016583,283.65311707541457,grid.surplus,-8.553181450978256,5.362585922350291,-0.049086185319512525
09:34:45,0,15.977273870993548,64.37552535212937,32.428412648179425,15.629056550194841,1.1512586690464643,1.158427497964878,59.25336531668783,59.25336531668783,frequency,16.031426129475697,2.4047139194213547,8015.713064737849,8.408802333176949,1.6817604666353898,420.44011665884744,grid.surplus,-6.126503897635348,-67.23337829613115,-0.0358230721617923
09:44:45,0,16.29691540792368,61.81224633776174,30.52071495645956,15.189889633934765,1.3265419710177695,1.3360027620861659,59.14589889676486,59.14589889676486,frequency,21.05496891994658,3.1582453379919873,10527.484459973291,10.990660923672124,2.198132184734425,549.5330461836062,grid.surplus,-3.6998263442924415,-139.82934251461256,-0.022559959004072077
09:54:45,0,16.61655694485381,59.248967323394126,28.61265728550425,13.73526911943487,1.1221755229317922,1.1311705239887773,59.04329026203937,59.04329026203937,frequency,25.76053200108311,3.8640798001624663,12880.266000541555,13.414002396121296,2.6828004792242592,670.7001198060648,grid.surplus,-1.2731487909495351,-212.42530673309395,-0.009296845846351863
10:04:45,0,16.538783621599556,57.756341177681136,27.6038239942044,13.869508707942218,-0.12851282441531028,-0.12745206592776948,58.9890154968889,58.9890154968889,frequency,30.268042688495125,4.540206403274269,15134.021344247563,15.715678128083008,3.1431356256166016,785.7839064041503,grid.surplus,0.0,-217.6381572100422,-0.0017751194394583624
10:14:45,0,15.959336777922518,57.615245252855026,27.89324424522925,14.01281198601676,-0.1256745038977985,-0.12465882207000305,59.01018900726188,59.01018900726188,frequency,34.893601451838634,5.234040217775795,17446.80072591932,18.039602048823216,3.6079204097646436,901.9801024411609,grid.surplus,0.0,-148.4803178634865,-0.0005901570895117238
10:24:45,0,15.37988993424548,57.474149328028915,28.18272640124351,14.156177169080712,-0.12289910049292,-0.12192656292559707,59.030894901787484,59.030894901787484,frequency,39.56740227350004,5.935110341025006,19783.70113675002,20.387415199056267,4.077483039811254,1019.3707599528134,grid.surplus,0.0,-79.3224785169308,0.0005948052604349151
10:34:45,0,14.800443090568443,57.3330534032028,28.47226910025596,14.299602895142852,-0.12018520964604362,-0.11925396704604396,59.05114354525737,59.05114354525737,frequency,44.28945535327464,6.643418302991196,22144.72767663732,22.759127778577458,4.551825555715491,1137.956388928873,grid.surplus,0.0,-10.164639170375096,0.0017797676103815541
10:44:45,0,14.220996246891405,57.19195747837668,28.761871010240988,14.443087832177566,-0.11753145857671504,-0.11663974118421441,59.07094507111723,59.07094507111723,frequency,49.05977066654879,7.3589655999823185,24529.885333274397,25.154749762773164,5.030949952554633,1257.7374881386581,grid.surplus,0.0,58.9932001761806,0.002964729960328193
10:54:45,0,13.641549403214368,57.050861553550575,29.05153082847927,14.586630677465541,-0.11493650554242518,-0.11408261971123215,59.09030938669881,59.09030938669881,frequency,53.878357969237264,8.08175369538559,26939.178984618633,27.574290907558137,5.514858181511627,1378.714545377907,grid.surplus,0.0,128.1510395227363,0.004149692310274831
11:04:45,0,13.581540712987554,56.93030084227719,29.039822835931275,14.582565701501265,1.285002725782287,1.2951329080884169,59.05590676849913,59.05590676849913,frequency,58.64568003790194,8.79685200568529,29322.84001895097,29.99078977001852,5.998157954003704,1499.539488500926,grid.surplus,0.0,151.27242277912768,0.0006002270115813219
11:14:45,0,14.17724068690677,56.835662596185045,28.594558155390366,13.937476856860453,1.4976023056165277,1.5108363646258705,58.94303768381818,58.94303768381818,frequency,63.22632755447163,9.483949133170745,31613.163777235815,32.346476056598576,6.469295211319715,1617.3238028299288,grid.surplus,0.0,123.58340553090935,-0.008174622372202497
11:24:45,0,14.77294066082599,56.741024350092886,28.149289668803373,14.152258014380948,1.2539439098435274,1.2662227585511736,58.83278873077688,58.83278873077688,frequency,67.7327638712627,10.159914580689405,33866.381935631354,34.67124338161501,6.934248676323001,1733.5621690807504,grid.surplus,0.0,95.89438828269101,-0.01694947175598632
11:34:45,0,15.368640634745207,56.64638610400074,27.703366273388678,13.506553914417163,1.4670627175716995,1.4827708775420951,58.724961947144074,58.724961947144074,frequency,72.1649340976272,10.82474011464408,36082.467048813596,36.955160286722446,7.391032057344489,1847.7580143361224,grid.surplus,0.0,68.20537103447265,-0.02572432113977014
